locationid,locationname,time,attract0,buddism,christianity,civlib,corrupt,democracy,depart0,ecfreedom,gdpc,gini,govqual,hinduism,individ,islam,lati,lifeexp,literacy,longi,mascul,protlevel_ud,totalpop,seadike_unit_cost_rural,seadike_unit_cost_urban,stability,temp,tempmult,tourarr,tourtav
ABW,Aruba,1995,0.001501,0,1,1.8,0.9,8,89201,2.3,16441,33.2,7.5,0,46.3,0,12.3,78.5,100,-69.6,47.9,50,80.323,2.08,2.08,0.8,25,1.8,619000,842
AFG,Afghanistan,1995,0.000008,0,0,7,-0.9,2.6,122523,3.8,671,43.6,3.7,0,19.9,1,34.5,45.5,32.2,69.2,51.7,-999.999,22475.7,0,0,-0.9,12.6,12.3,4000,250
AGO,Angola,1995,0.000022,0,1,6,-0.9,3.3,60402,4.5,2713,42.1,4.3,0,22.2,0,-8.8,57.7,57.4,13.3,40,20,12105.1,3.47,3.47,-1.8,21.5,1.6,8000,1111
AIA,Anguilla,1995,0.036241,0,1,2,1.7,10,49062872,1.9,10597,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,20,58019,6.28,6.28,0.9,8.4,5.9,23538000,788
ALA,Aaland,1995,0.001212,0,1,1,2.1,10,6030774,2.2,26727,25.6,9.7,0,63,0,60.2,82.1,100,25,26,20,26,2.82,2.82,1.5,1.7,13.6,835000,924
ALB,Albania,1995,0.000058,0,0,5,-1,6,14060,3.7,4390,40.7,4.4,0,24.7,1,41.3,60.4,81.4,19.8,60.3,20,3141.1,2.6,2.6,-1,11.4,9.3,40000,1625
AND,Andorra,1995,0.002714,0,1,1,0.7,7.3,63968,2.4,22110,34.4,6.9,0,41.7,0,42.5,75.1,99.7,1.5,51,-999.999,65,0,0,0.6,7.6,8.8,1893030,662
ARE,United Arab Emirates,1995,0.003258,0,0,5,0,0,633422,2.2,83127,33.8,7.2,0,38,1,24.5,76.9,72.9,54.4,53,50,2348.54,4.33,4.33,0.8,27,7.3,1601000,243
ARG,Argentina,1995,0.017999,0,1,3,-0.3,7,4159559,2.1,11704,34.6,4.3,0,46,0,-34.7,74.4,96.3,-58.5,56,50,34855.2,11.05,11.05,0.5,14.8,6.6,4101000,937
ARM,Armenia,1995,0.000443,0,1,4,-0.8,4,144310,3.1,2082,40.5,4.5,0,25,0,40.2,60.7,98,44.5,33,-999.999,3223.17,5.63,5.63,-0.5,7.1,13.3,263258,417
ASM,American Samoa,1995,0.120544,0,1,1,1.4,10,59479344,1.8,41319,40.1,9.8,0,91,0,38.9,82.6,100,-77,62,20,55,4.98,4.98,1.1,8.5,12.4,43385000,1463
ATF,French Southern Territories,1995,0.086056,0,1,2,1.3,9,21894512,2.5,30849,32.7,9.3,0,71,0,48.9,82.6,100,2.3,43,10,0.2,3.68,3.68,0.6,10.7,7.9,60033000,459
ATG,Antigua and Barbuda,1995,0.000937,0,1,3,0.3,6.1,22967,2.7,18250,36.5,5.9,0,34.6,0,17.1,69.5,84.6,-61.9,47.9,20,69,3.47,3.47,0.3,26,1.1,413707,1165
AUS,Australia,1995,0.020178,0,1,1,1.6,10,2951529,1.9,30970,33.7,9.4,0,90,0,-35.3,80.7,100,149.1,61,50,18072,4.98,4.98,1.2,21.6,6,3726000,2109
AUT,Austria,1995,0.024009,0,1,1,1.5,10,14860756,2.1,33459,23.1,9.4,0,55,0,48.2,83.3,100,16.4,79,-999.999,7948.28,0,0,1.4,6.3,9.1,17173000,786
AZE,Azerbaijan,1995,0.000256,0,0,4,-1,0,98234,4.2,2262,42.1,4.1,0,22.3,1,40.4,57.8,57.5,49.9,33,-999.999,7685,5.63,5.63,-0.4,11.9,12.5,149000,753
BDI,Burundi,1995,0.000087,0,1,6,-1.1,1.9,42181,4,485,45.2,3.4,0,27,0,-3.4,52.6,43,29.3,41,-999.999,6086.75,0,0,-1.1,19.7,0.8,33000,29
BEL,Belgium,1995,0.007577,0,1,2,0.7,10,6658809,2.1,32581,25,9.7,0,75,0,50.8,82.8,100,4.4,54,1000,10136.8,5.63,5.63,0.8,9.6,7.6,5560000,1054
BEN,Benin,1995,0.000317,0,0,3,-0.8,6,486258,2.9,1417,42.7,3.9,0,20,0,6.5,56.7,33.8,2.7,46,20,5651.14,3.68,3.68,-0.9,27.5,2.9,138000,196
BES,"Bonaire, Saba and Saint Eustatius",1995,0.001651,0,1,2.3,0.5,6.6,74048,2.6,8977,35.6,6.3,0,37.4,0,12.2,71.8,96.1,-69,47.9,50,179.8,2.08,2.08,0.4,25,1.8,681098,599
