"locationid","locationname","time","coastlength","gdp","gdpc","length_protected","protlevel_implemented"
"ABW","Aruba",2010,67.1367416381836,3067.59274,35453.8828,67.1367416381836,200.000058
"AFG","Afghanistan",2010,0,50490.46,1415.2994,0,0
"AGO","Angola",2010,1704.63076505065,168482.72,8829.33,721.641849803925,44.5618392
"AIA","Anguilla",2010,80.4622447341681,1568597.2,25275.344,72.6550297737122,118.028497
"ALA","Aaland",2010,277.053226470947,1853.1613,67866.19,11.1415061950684,50.0000104
"ALB","Albania",2010,342.712226510048,24823.552,7747.02476,303.57569026947,20.0000004
"AND","Andorra",2010,0,3364.0818,47679.664,0,0
"ARE","United Arab Emirates",2010,817.547854244709,245515.17,32684.082,396.971478760242,57.9640044
"ARG","Argentina",2010,5242.03050518036,591537.5,14637.201,1502.44432973862,92.894533
"ARM","Armenia",2010,0,34563.195,11178.025,0,0
"ASM","American Samoa",2010,65.1337738037109,276.84952,4319.0493,65.1337738037109,19.9999972
"ATF","French Southern Territories",2010,1016.37141704559,10.619384,48915.82,0,0
"ATG","Antigua and Barbuda",2010,126.282623291016,1792.1107,24281.28,68.5383834838867,200.000006
"AUS","Australia",2010,26464.1311590746,1575488.5,70929.58,4297.70739531517,60.3084852
"AUT","Austria",2010,0,509648.38,60620.887,0,0
"AZE","Azerbaijan",2010,0,357752.212,39340.226,0,0
"BDI","Burundi",2010,0,2278.145,271.77222,0,0
"BEL","Belgium",2010,93.2773441206664,568516.976,52775.728,93.2607461214066,50.0000062
"BEN","Benin",2010,121.191113948822,7818.7515,883.4724,21.4496641159058,10.000001
"BES","Bonaire, Saba and Saint Eustatius",2010,91.2328948974609,12653.353,65331.4,0,0
"BFA","Burkina Faso",2010,0,15033.149,912.8669,0,0
"BGD","Bangladesh",2010,2150.2655034028,221397.62,1488.9673,947.030519127846,21.9695004
"BGR","Bulgaria",2010,285.206119537354,104814.62,13903.492,285.206119537354,80.324434
"BHR","Bahrain",2010,178.178324222565,24821.4774,19671.0394,137.85129404068,103.8929498
"BHS","Bahamas",2010,3433.05147188902,6807.4461,19854.4978,631.491184234619,55.9405444
"BIH","Bosnia and Herzegovia",2010,8.41350841522217,28864.9908,7676.80252,8.41350841522217,19.9999988
"BLM","Saint Barthelemy",2010,34.5872840881348,1792.0211,48915.82,34.5872840881348,199.999906
"BLR","Belarus",2010,0,147029.02,15443.4724,0,0
"BLZ","Belize",2010,543.028348922729,1727.9603,5642.5043,143.709281921387,19.9999962
"BMU","Bermuda",2010,39.6290435791016,7755.37,118858.02,39.6290435791016,200.00001
"BOL","Bolivia",2010,0,26475.75,2666.2058,0,0
"BRA","Brazil",2010,15596.435482204,2804132.2,14384.346,6046.20688402653,45.3456228
"BRB","Barbados",2010,89.503547668457,4056.03078,14839.2026,0,0
"BRN","Brunei Darussalam",2010,173.931532621384,17051.2698,42745.3888,113.889585494995,49.9999992
"BTN","Bhutan",2010,0,3586.19058,4939.89564,0,0
"BVT","Bouvetisland",2010,28.7281932830811,0,107341.94,0,0
"BWA","Botswana",2010,0,19435.7706,9684.5272,0,0
"CAF","Central African Republic",2010,0,2334.18124,530.400784,0,0
"CAN","Canada",2010,113746.049347974,1953127.6,57317.46,11239.6596312895,53.402397
"CCK","Cocos Islands",2010,19.4895362854004,87.17843,70929.58,19.4895362854004,50.0000536
"CHE","Switzerland",2010,0,720969.36,93771.3744,0,0
"CHL","Chile",2010,24086.1902387142,351837.56,20557.955,2447.22750854492,66.0891568
"CHN","China",2010,11053.9535379373,22740834,17082.438,11034.5922465287,85.6205384
"CIV","Cote de Ivoire",2010,1030.93377411366,24110.629,1221.5101,206.811922073364,20.0377164
"CMR","Cameroon",2010,547.87618637085,29793.691,1520.1577,37.3821334838867,9.9999956
"COD","Congo, Democratic Republic",2010,129.322250366211,33840.504,512.9911,0,0
"COG","Congo",2010,164.167785644531,20054.377,4960.377,164.167785644531,99.9999508
"COK","Cook Islands",2010,205.048361361027,245.373272,14746.3262,163.671907067299,129.567588
"COL","Colombia",2010,2603.13041603565,438401.4,9469.981,1302.76075041294,35.7167104
"COM","Comoros",2010,337.019805908203,553.736544,753.66644,270.501937866211,10.0000014
"CPV","Cape Verde",2010,709.203296661377,3394.76922,6844.3898,709.203296661377,57.3580496
"CRI","Costa Rica",2010,1082.23074531555,57418.36,12323.908,262.089286804199,36.7663436
"CUB","Cuba",2010,4024.20718383789,82660.309,7341.96112,506.121541500092,28.4373376
"CUW","Curacao",2010,127.36580657959,4062.787,25975.473,0,0
"CXR","Christmas Island",2010,44.6749687194824,174.35686,70929.58,44.6749687194824,50.0000066
"CYM","Cayman Islands",2010,161.186954498291,4511.5283,76408.29,44.445873260498,199.999884
"CYP","Cyprus",2010,581.647436380386,39735.4328,36004.0616,553.393800258636,106.414484
"CZE","Czech Republic",2010,0,360036.776,34286.1136,0,0
"DEU","Germany",2010,1941.81580780447,4932871.5,60120.13,1941.7081528008,58.0264708
"DJI","Djibouti",2010,307.367399759591,1497.36728,1684.96434,29.6725769042969,24.999984
"DMA","Dominica",2010,120.63582611084,709.19977,9338.262,120.63582611084,100.0000076
"DNK","Denmark",2010,3599.78703087568,397049.67,71537.74,3344.95188117027,62.8277792
"DOM","Dominican Republic",2010,1177.46759475768,97990.06,9870.654,538.975370287895,59.1851166
"DZA","Algeria",2010,1156.32993632555,186286.53,5252.13,1155.73990833759,92.4059204
"ECU","Ecuador",2010,2155.20670580864,107106.66,7404.5825,954.200018525124,26.2668604
"EGY","Egypt",2010,2805.56099128723,320596.03,3952.016,366.251524567604,37.3170058
"ERI","Eritrea",2010,1197.13365507126,2592.57142,493.469996,0,0
"ESH","Western Sahara",2010,1002.86352157593,1375.0378,6510.4473,270.920715332031,20
"ESP","Spain",2010,4266.61255244911,1838311.6,39938.03,4226.04217454791,104.244056
"EST","Estonia",2010,1221.4062461853,63106.285,47188.596,938.813545227051,49.9999992
"ETH","Ethiopia",2010,0,60773.195,732.6499,0,0
"FIN","Finland",2010,2186.62591600418,364059.94,67866.19,971.291432857513,54.707242
"FJI","Fiji",2010,2213.68733850121,3970.67106,4613.6432,1127.10402241349,22.1914744
"FLK","Falkland Islands",2010,1541.34553146362,149.01228,49753.07,0,0
"FRA","France",2010,3759.80250625499,3155735.8,48915.82,3598.18143567629,64.730558
"FRO","Faroe Islands",2010,425.420246124268,2995.74148,58848.446,190.46900177002,50.0000054
"FSM","Micronesia, Federal State of",2010,328.261573545635,382.10715,3211.46468,23.0579102039337,24.9999838
"GAB","Gabon",2010,1452.16964912415,13067.008,8679.656,25.3380374908447,19.999994
