"ISO3166","Country","DIVA coastlength (km)","Always protect (%)","Possible protect (%)","Never protect (%)","Minimal submergence land loss","Minimal submergence migration","Minimal relative submergence migration","Maximal submergence land loss","Maximal submergence migration","Maximal relative submergence migration"
"ABW","Aruba",67,0,100,0,0,0,0,2.4,10485,11
"AGO","Angola",1705,1.7,7.2,91.1,39,12852,0.059,340,200513,0.91
"AIA","Anguilla",80,0,29.1,70.9,0.43,566,0.00089,3.5,4131,0.0064
"ALA","Aaland",277,4,0,96,-99,0,0,330,5527,20
"ALB","Albania",343,6.15,33.75,60.1,21,3509,0.11,820,120073,3.7
"ARE","United Arab Emirates",818,40.2,4,55.8,47,7409,0.077,590,32539,0.32
"ARG","Argentina",5242,0.4,1,98.6,1300,109397,0.26,7500,388147,0.92
"ASM","American Samoa",65,0,0,100,0.47,20,0.031,5.1,7615,11
"ATF","French Southern Territories",1016,0,0,100,46,0,0,180,0,0
"ATG","Antigua and Barbuda",126,0,54.3,45.7,0,0,0,10,10186,13
"AUS","Australia",26464,1.2,2.45,96.35,3200,51557,0.22,25000,401273,1.6
"BEL","Belgium",93,100,0,0,0,0,0,0,0,0
"BEN","Benin",121,14.6,12.7,72.7,38,74855,0.74,410,465797,4.6
"BES","Bonaire, Saba and Saint Eustatius",91,0,0,100,0,0,0,34,1783,0.9
"BGD","Bangladesh",2150,21.5,51.7,26.8,43,173025,0.11,5500,8013866,5.1
"BGR","Bulgaria",285,0,65.7,34.3,2.2,421,0.0058,140,51061,0.7
"BHR","Bahrain",178,56.65,16.45,26.9,2,672,0.042,74,42856,2.6
"BHS","Bahamas",3433,0,0,100,190,12807,3.5,2100,29874,8.2
"BIH","Bosnia and Herzegovia",8,0,100,0,0,0,0,20,2803,0.075
"BLM","Saint Barthelemy",35,0,100,0,0,0,0,0.34,2356,6.2
"BLZ","Belize",543,0,0,100,25,4960,1.5,440,32354,9.6
"BMU","Bermuda",40,100,0,0,0,0,0,0,0,0
"BRA","Brazil",15596,0.4,2.2,97.4,2500,507108,0.25,26000,1816420,0.89
"BRB","Barbados",90,0,0,100,0,0,0,0.27,78,0.028
"BRN","Brunei Darussalam",174,0,17.8,82.2,0.11,785,0.18,27,5609,1.3
"BVT","Bouvetisland",29,0,0,100,0,0,0,2.7,0,0
"CAN","Canada",113746,0.1,0.300000000000009,99.6,8000,137770,0.39,44000,275768,0.76
"CCK","Cocos Islands",19,0,0,100,0.13,301,23,1.7,343,25
"CHL","Chile",24086,0.3,0.6,99.1,61,46271,0.26,390,107581,0.6
"CHN","China",11054,55.85,26.65,17.5,100,218578,0.016,3200,3295421,0.24
"CIV","Cote de Ivoire",1031,0,9.4,90.6,160,49270,0.23,370,762149,3.5
"CMR","Cameroon",548,0,0,100,6.6,2853,0.013,45,16230,0.074
"COD","Congo, Democratic Republic",129,0,0,100,4.8,7097,0.0095,130,44172,0.058
"COG","Congo",164,0,0,100,0.42,70207,1.6,4.6,77597,1.7
"COK","Cook Islands",205,0,18,82,0.12,1189,6.8,1.2,4758,27
"COL","Colombia",2603,0,4.7,95.3,370,34017,0.069,2500,334860,0.67
"COM","Comoros",337,0,0,100,0.63,62645,7.8,5.7,68994,8.3
