"caseid","locationid","locationname","time","coastlength","length_protected","ssp","pfl","dr","slr","seadikecost_factor","migr","migrcost","migrlevel","migration_submergence_cummulative","migrationcost_submergence_cummulative","landloss_submergence_cummulative","par_cummulative","totalpop","migration_submergence_cummulative_relative","seafloodcost_cummulative","protectioncost_cummulative","migration_submergence_cummulative_mean","migration_submergence_cummulative_min","migration_submergence_cummulative_max","migration_submergence_cummulative_relative_mean","migration_submergence_cummulative_relative_min","migration_submergence_cummulative_relative_max","landloss_submergence_cummulative_mean","landloss_submergence_cummulative_min","landloss_submergence_cummulative_max","par_cummulative_mean","par_cummulative_min","par_cummulative_max","migrationcost_submergence_cummulative_mean","migrationcost_submergence_cummulative_min","migrationcost_submergence_cummulative_max","seafloodcost_cummulative_mean","seafloodcost_cummulative_min","seafloodcost_cummulative_max","protectioncost_cummulative_mean","protectioncost_cummulative_min","protectioncost_cummulative_max"
"robust_protection_migration_off+migrLevel_010_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR00_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,197156.110211038,"SSP1","Table protection levels","Discount rate 0.0","RCP 2.6 low","Usual seadike cost","No migration","Migrationcost 3.0","Migrationlevel  10.0",0,0,39348.620035,91513.5796,7090826.5,0,1846577.644,10083168.1,0,0,0,0,0,0,45878.3322298,38107.25787,54388.58887,328634.723522,68119.6988,784996.877,0,0,0,4492740.7211,1648378.543,11584071.7875,8323409.13462,6891687.7075,10986827.928
"robust_protection_migration_off+migrLevel_010_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR01_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,184488.504045167,"SSP1","Table protection levels","Discount rate 1.5","RCP 2.6 low","Usual seadike cost","No migration","Migrationcost 3.0","Migrationlevel  10.0",0,0,40891.93704,151657.8722,7090826.5,0,2898848.34,9111304.458,0,0,0,0,0,0,45878.3322298,38107.25787,54388.58887,328634.723522,68119.6988,784996.877,0,0,0,4492740.7211,1648378.543,11584071.7875,8323409.13462,6891687.7075,10986827.928
"robust_protection_migration_off+migrLevel_010_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR03_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,174586.765560576,"SSP1","Table protection levels","Discount rate 3.0","RCP 2.6 low","Usual seadike cost","No migration","Migrationcost 3.0","Migrationlevel  10.0",0,0,43107.560205,216211.6565,7090826.5,0,4226391.39,8400357.913,0,0,0,0,0,0,45878.3322298,38107.25787,54388.58887,328634.723522,68119.6988,784996.877,0,0,0,4492740.7211,1648378.543,11584071.7875,8323409.13462,6891687.7075,10986827.928
"robust_protection_migration_off+migrLevel_010_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR04_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,161975.608230652,"SSP1","Table protection levels","Discount rate 4.5","RCP 2.6 low","Usual seadike cost","No migration","Migrationcost 3.0","Migrationlevel  10.0",0,0,49104.71763,328781.218,7090826.5,0,6713342.035,7642414.023,0,0,0,0,0,0,45878.3322298,38107.25787,54388.58887,328634.723522,68119.6988,784996.877,0,0,0,4492740.7211,1648378.543,11584071.7875,8323409.13462,6891687.7075,10986827.928
"robust_protection_migration_off+migrLevel_010_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR06_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,154600.043896751,"SSP1","Table protection levels","Discount rate 6.0","RCP 2.6 low","Usual seadike cost","No migration","Migrationcost 3.0","Migrationlevel  10.0",0,0,52125.715475,399542.08,7090826.5,0,8348181.7475,7281632.455,0,0,0,0,0,0,45878.3322298,38107.25787,54388.58887,328634.723522,68119.6988,784996.877,0,0,0,4492740.7211,1648378.543,11584071.7875,8323409.13462,6891687.7075,10986827.928
"robust_protection_migration_off+migrLevel_010_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR00_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,194267.742340096,"SSP2","Table protection levels","Discount rate 0.0","RCP 2.6 low","Usual seadike cost","No migration","Migrationcost 3.0","Migrationlevel  10.0",0,0,39612.95075,135422.399,9225808,0,1840841.195,9719166.793,0,0,0,0,0,0,45878.3322298,38107.25787,54388.58887,328634.723522,68119.6988,784996.877,0,0,0,4492740.7211,1648378.543,11584071.7875,8323409.13462,6891687.7075,10986827.928
"robust_protection_migration_off+migrLevel_010_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR01_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,182420.060396769,"SSP2","Table protection levels","Discount rate 1.5","RCP 2.6 low","Usual seadike cost","No migration","Migrationcost 3.0","Migrationlevel  10.0",0,0,41177.640425,190158.833,9225808,0,2650398.235,8935281.438,0,0,0,0,0,0,45878.3322298,38107.25787,54388.58887,328634.723522,68119.6988,784996.877,0,0,0,4492740.7211,1648378.543,11584071.7875,8323409.13462,6891687.7075,10986827.928
"robust_protection_migration_off+migrLevel_010_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR03_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,170393.130168029,"SSP2","Table protection levels","Discount rate 3.0","RCP 2.6 low","Usual seadike cost","No migration","Migrationcost 3.0","Migrationlevel  10.0",0,0,45716.58875,293968.203,9225808,0,4231224.6165,8093317.793,0,0,0,0,0,0,45878.3322298,38107.25787,54388.58887,328634.723522,68119.6988,784996.877,0,0,0,4492740.7211,1648378.543,11584071.7875,8323409.13462,6891687.7075,10986827.928
"robust_protection_migration_off+migrLevel_010_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR04_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,159401.802397626,"SSP2","Table protection levels","Discount rate 4.5","RCP 2.6 low","Usual seadike cost","No migration","Migrationcost 3.0","Migrationlevel  10.0",0,0,50525.292835,408459.4385,9225808,0,6031126.55,7518987.873,0,0,0,0,0,0,45878.3322298,38107.25787,54388.58887,328634.723522,68119.6988,784996.877,0,0,0,4492740.7211,1648378.543,11584071.7875,8323409.13462,6891687.7075,10986827.928
"robust_protection_migration_off+migrLevel_010_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR06_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,150941.127680676,"SSP2","Table protection levels","Discount rate 6.0","RCP 2.6 low","Usual seadike cost","No migration","Migrationcost 3.0","Migrationlevel  10.0",0,0,52932.20311,553048.4875,9225808,0,8212850.68,7089632.9625,0,0,0,0,0,0,45878.3322298,38107.25787,54388.58887,328634.723522,68119.6988,784996.877,0,0,0,4492740.7211,1648378.543,11584071.7875,8323409.13462,6891687.7075,10986827.928
"robust_protection_migration_off+migrLevel_010_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP3+DR00_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,177885.33359892,"SSP3","Table protection levels","Discount rate 0.0","RCP 2.6 low","Usual seadike cost","No migration","Migrationcost 3.0","Migrationlevel  10.0",0,0,41530.60172,241074.84925,12808897,0,1648378.543,8818580.679,0,0,0,0,0,0,45878.3322298,38107.25787,54388.58887,328634.723522,68119.6988,784996.877,0,0,0,4492740.7211,1648378.543,11584071.7875,8323409.13462,6891687.7075,10986827.928
