"caseid","locationid","locationname","time","coastlength","length_protected","ssp","pfl","dr","slr","seadikecost_factor","migr","migrcost","migrlevel","migration_submergence_cummulative","migrationcost_submergence_cummulative","landloss_submergence_cummulative","par_cummulative","totalpop","migration_submergence_cummulative_relative","seafloodcost_cummulative","protectioncost_cummulative","migration_submergence_cummulative_mean","migration_submergence_cummulative_min","migration_submergence_cummulative_max","migration_submergence_cummulative_relative_mean","migration_submergence_cummulative_relative_min","migration_submergence_cummulative_relative_max","landloss_submergence_cummulative_mean","landloss_submergence_cummulative_min","landloss_submergence_cummulative_max","par_cummulative_mean","par_cummulative_min","par_cummulative_max","migrationcost_submergence_cummulative_mean","migrationcost_submergence_cummulative_min","migrationcost_submergence_cummulative_max","seafloodcost_cummulative_mean","seafloodcost_cummulative_min","seafloodcost_cummulative_max","protectioncost_cummulative_mean","protectioncost_cummulative_min","protectioncost_cummulative_max"
"robust_protection_migration__on+migrLevel_001_0+migrcost_2_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR00_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,35912.8679554285,"SSP1","Table protection levels","Discount rate 0.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 2.0","Migrationlevel   1.0",22510.28118,1081409.206,62017.4063,126937.8594,7090826.5,0.317456380860539,1856396.15,2633590.988,23228.1210712,18886.600475,29119.957205,0.257287903697605,0.196870192491984,0.317456380860539,62958.728281,60273.13847,64606.7123,183554.52614,114589.8132,279468.7695,955602.83214,717440.783,1221616.5685,1837538.81,1158617.441,3136829.72,2723542.59494,2246899.5845,3047773.9555
"robust_protection_migration__on+migrLevel_001_0+migrcost_2_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR01_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,39286.9277616413,"SSP1","Table protection levels","Discount rate 1.5","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 2.0","Migrationlevel   1.0",21026.168425,1000102.1855,62764.675425,140103.2288,7090826.5,0.29652634181643,1799960.388,2694014.3135,23228.1210712,18886.600475,29119.957205,0.257287903697605,0.196870192491984,0.317456380860539,62958.728281,60273.13847,64606.7123,183554.52614,114589.8132,279468.7695,955602.83214,717440.783,1221616.5685,1837538.81,1158617.441,3136829.72,2723542.59494,2246899.5845,3047773.9555
"robust_protection_migration__on+migrLevel_001_0+migrcost_2_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR03_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,42723.8140923474,"SSP1","Table protection levels","Discount rate 3.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 2.0","Migrationlevel   1.0",21102.145655,979237.9205,62727.07623,158589.565,7090826.5,0.297597828052908,1795288.7685,2756091.3195,23228.1210712,18886.600475,29119.957205,0.257287903697605,0.196870192491984,0.317456380860539,62958.728281,60273.13847,64606.7123,183554.52614,114589.8132,279468.7695,955602.83214,717440.783,1221616.5685,1837538.81,1158617.441,3136829.72,2723542.59494,2246899.5845,3047773.9555
"robust_protection_migration__on+migrLevel_001_0+migrcost_2_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR04_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,46793.7129932735,"SSP1","Table protection levels","Discount rate 4.5","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 2.0","Migrationlevel   1.0",21578.20954,986638.6445,62695.95655,182990.932,7090826.5,0.304311627706587,2007680.9475,2813888.02,23228.1210712,18886.600475,29119.957205,0.257287903697605,0.196870192491984,0.317456380860539,62958.728281,60273.13847,64606.7123,183554.52614,114589.8132,279468.7695,955602.83214,717440.783,1221616.5685,1837538.81,1158617.441,3136829.72,2723542.59494,2246899.5845,3047773.9555
"robust_protection_migration__on+migrLevel_001_0+migrcost_2_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR06_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,50358.8750924859,"SSP1","Table protection levels","Discount rate 6.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 2.0","Migrationlevel   1.0",21991.098955,1008915.632,63446.5661,207672.9295,7090826.5,0.310134494970368,2331031.645,2861535.1155,23228.1210712,18886.600475,29119.957205,0.257287903697605,0.196870192491984,0.317456380860539,62958.728281,60273.13847,64606.7123,183554.52614,114589.8132,279468.7695,955602.83214,717440.783,1221616.5685,1837538.81,1158617.441,3136829.72,2723542.59494,2246899.5845,3047773.9555
"robust_protection_migration__on+migrLevel_001_0+migrcost_2_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR00_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,35097.5318751009,"SSP2","Table protection levels","Discount rate 0.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 2.0","Migrationlevel   1.0",23987.686335,1019923.708,62214.05905,142245.15,9225808,0.260006346706977,1670199.5615,2574837.867,23228.1210712,18886.600475,29119.957205,0.257287903697605,0.196870192491984,0.317456380860539,62958.728281,60273.13847,64606.7123,183554.52614,114589.8132,279468.7695,955602.83214,717440.783,1221616.5685,1837538.81,1158617.441,3136829.72,2723542.59494,2246899.5845,3047773.9555
"robust_protection_migration__on+migrLevel_001_0+migrcost_2_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR01_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,38297.4803925427,"SSP2","Table protection levels","Discount rate 1.5","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 2.0","Migrationlevel   1.0",23061.40102,949594.5945,63148.85595,167414.0765,9225808,0.2499661928798,1650779.615,2612923.902,23228.1210712,18886.600475,29119.957205,0.257287903697605,0.196870192491984,0.317456380860539,62958.728281,60273.13847,64606.7123,183554.52614,114589.8132,279468.7695,955602.83214,717440.783,1221616.5685,1837538.81,1158617.441,3136829.72,2723542.59494,2246899.5845,3047773.9555
"robust_protection_migration__on+migrLevel_001_0+migrcost_2_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR03_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,42226.1954034064,"SSP2","Table protection levels","Discount rate 3.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 2.0","Migrationlevel   1.0",22871.83894,908133.1935,62963.51103,183364.736,9225808,0.247911499350518,1634937.7315,2692916.015,23228.1210712,18886.600475,29119.957205,0.257287903697605,0.196870192491984,0.317456380860539,62958.728281,60273.13847,64606.7123,183554.52614,114589.8132,279468.7695,955602.83214,717440.783,1221616.5685,1837538.81,1158617.441,3136829.72,2723542.59494,2246899.5845,3047773.9555
"robust_protection_migration__on+migrLevel_001_0+migrcost_2_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR04_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,46528.3611149881,"SSP2","Table protection levels","Discount rate 4.5","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 2.0","Migrationlevel   1.0",22931.506005,885418.4495,62801.9481,202810.767,9225808,0.248558240156309,1802518.3805,2777122.0525,23228.1210712,18886.600475,29119.957205,0.257287903697605,0.196870192491984,0.317456380860539,62958.728281,60273.13847,64606.7123,183554.52614,114589.8132,279468.7695,955602.83214,717440.783,1221616.5685,1837538.81,1158617.441,3136829.72,2723542.59494,2246899.5845,3047773.9555
"robust_protection_migration__on+migrLevel_001_0+migrcost_2_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR06_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,50358.4826068673,"SSP2","Table protection levels","Discount rate 6.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 2.0","Migrationlevel   1.0",23535.62692,899364.444,63553.45955,230605.3185,9225808,0.255106402821303,2020403.885,2843182.0215,23228.1210712,18886.600475,29119.957205,0.257287903697605,0.196870192491984,0.317456380860539,62958.728281,60273.13847,64606.7123,183554.52614,114589.8132,279468.7695,955602.83214,717440.783,1221616.5685,1837538.81,1158617.441,3136829.72,2723542.59494,2246899.5845,3047773.9555
