"caseid","locationid","locationname","time","coastlength","length_protected","ssp","pfl","dr","slr","seadikecost_factor","migr","migrcost","migrlevel","migration_submergence_cummulative","migrationcost_submergence_cummulative","landloss_submergence_cummulative","par_cummulative","totalpop","migration_submergence_cummulative_relative","seafloodcost_cummulative","protectioncost_cummulative","migration_submergence_cummulative_mean","migration_submergence_cummulative_min","migration_submergence_cummulative_max","migration_submergence_cummulative_relative_mean","migration_submergence_cummulative_relative_min","migration_submergence_cummulative_relative_max","landloss_submergence_cummulative_mean","landloss_submergence_cummulative_min","landloss_submergence_cummulative_max","par_cummulative_mean","par_cummulative_min","par_cummulative_max","migrationcost_submergence_cummulative_mean","migrationcost_submergence_cummulative_min","migrationcost_submergence_cummulative_max","seafloodcost_cummulative_mean","seafloodcost_cummulative_min","seafloodcost_cummulative_max","protectioncost_cummulative_mean","protectioncost_cummulative_min","protectioncost_cummulative_max"
"robust_protection_migration__on+migrLevel_001_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR00_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,41498.3900436582,"SSP1","Table protection levels","Discount rate 0.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 3.0","Migrationlevel   1.0",19135.39858,1371465.2545,61024.12255,118713.60745,7090826.5,0.269861328295087,1623437.89,2907647.1655,20102.5768228,17284.375305,23585.335825,0.222775718169007,0.175377459589221,0.269861328295087,61807.3782282,59709.01625,63523.46475,168954.692412,107470.8691,265917.052,1220824.1899,899094.7725,1605069.447,1657034.24336,1020622.5965,2855257.4565,3071223.0733,2578557.195,3401747.9355
"robust_protection_migration__on+migrLevel_001_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR01_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,45534.0996760884,"SSP1","Table protection levels","Discount rate 1.5","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 3.0","Migrationlevel   1.0",17808.361265,1269415.8355,61250.93625,123845.9528,7090826.5,0.251146481513826,1561776.4125,2997100.6945,20102.5768228,17284.375305,23585.335825,0.222775718169007,0.175377459589221,0.269861328295087,61807.3782282,59709.01625,63523.46475,168954.692412,107470.8691,265917.052,1220824.1899,899094.7725,1605069.447,1657034.24336,1020622.5965,2855257.4565,3071223.0733,2578557.195,3401747.9355
"robust_protection_migration__on+migrLevel_001_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR03_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,50818.9686177466,"SSP1","Table protection levels","Discount rate 3.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 3.0","Migrationlevel   1.0",18508.28082,1259754.6845,61673.3669,146494.525,7090826.5,0.261017256874075,1676685.8605,3092950.8325,20102.5768228,17284.375305,23585.335825,0.222775718169007,0.175377459589221,0.269861328295087,61807.3782282,59709.01625,63523.46475,168954.692412,107470.8691,265917.052,1220824.1899,899094.7725,1605069.447,1657034.24336,1020622.5965,2855257.4565,3071223.0733,2578557.195,3401747.9355
"robust_protection_migration__on+migrLevel_001_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR04_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,56418.1155482028,"SSP1","Table protection levels","Discount rate 4.5","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 3.0","Migrationlevel   1.0",18330.575205,1234946.778,61646.6566,161345.929,7090826.5,0.258511122857117,1754822.6915,3235017.6255,20102.5768228,17284.375305,23585.335825,0.222775718169007,0.175377459589221,0.269861328295087,61807.3782282,59709.01625,63523.46475,168954.692412,107470.8691,265917.052,1220824.1899,899094.7725,1605069.447,1657034.24336,1020622.5965,2855257.4565,3071223.0733,2578557.195,3401747.9355
"robust_protection_migration__on+migrLevel_001_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP1+DR06_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,61629.1020116005,"SSP1","Table protection levels","Discount rate 6.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 3.0","Migrationlevel   1.0",18741.991425,1272110.271,62058.1595,184768.2025,7090826.5,0.264313214051987,2105371.16,3328297.44,20102.5768228,17284.375305,23585.335825,0.222775718169007,0.175377459589221,0.269861328295087,61807.3782282,59709.01625,63523.46475,168954.692412,107470.8691,265917.052,1220824.1899,899094.7725,1605069.447,1657034.24336,1020622.5965,2855257.4565,3071223.0733,2578557.195,3401747.9355
"robust_protection_migration__on+migrLevel_001_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR00_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,40490.5479589971,"SSP2","Table protection levels","Discount rate 0.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 3.0","Migrationlevel   1.0",20559.936325,1302534.708,61224.5385,134659.622,9225808,0.222852419267776,1479538.745,2808730.447,20102.5768228,17284.375305,23585.335825,0.222775718169007,0.175377459589221,0.269861328295087,61807.3782282,59709.01625,63523.46475,168954.692412,107470.8691,265917.052,1220824.1899,899094.7725,1605069.447,1657034.24336,1020622.5965,2855257.4565,3071223.0733,2578557.195,3401747.9355
"robust_protection_migration__on+migrLevel_001_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR01_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,44728.1453398028,"SSP2","Table protection levels","Discount rate 1.5","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 3.0","Migrationlevel   1.0",19126.736095,1180819.8055,61425.14885,141914.5315,9225808,0.207317734067303,1421920.652,2913180.177,20102.5768228,17284.375305,23585.335825,0.222775718169007,0.175377459589221,0.269861328295087,61807.3782282,59709.01625,63523.46475,168954.692412,107470.8691,265917.052,1220824.1899,899094.7725,1605069.447,1657034.24336,1020622.5965,2855257.4565,3071223.0733,2578557.195,3401747.9355
"robust_protection_migration__on+migrLevel_001_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR03_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,50525.7117870543,"SSP2","Table protection levels","Discount rate 3.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 3.0","Migrationlevel   1.0",19778.5865,1138920.5365,61799.965925,166115.7425,9225808,0.214383244264351,1518410.8375,3043251.2065,20102.5768228,17284.375305,23585.335825,0.222775718169007,0.175377459589221,0.269861328295087,61807.3782282,59709.01625,63523.46475,168954.692412,107470.8691,265917.052,1220824.1899,899094.7725,1605069.447,1657034.24336,1020622.5965,2855257.4565,3071223.0733,2578557.195,3401747.9355
"robust_protection_migration__on+migrLevel_001_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR04_5","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,56313.3296094928,"SSP2","Table protection levels","Discount rate 4.5","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 3.0","Migrationlevel   1.0",20366.826005,1141947.156,61815.4765,191516.435,9225808,0.220759265800892,1619182.49,3186866.438,20102.5768228,17284.375305,23585.335825,0.222775718169007,0.175377459589221,0.269861328295087,61807.3782282,59709.01625,63523.46475,168954.692412,107470.8691,265917.052,1220824.1899,899094.7725,1605069.447,1657034.24336,1020622.5965,2855257.4565,3071223.0733,2578557.195,3401747.9355
"robust_protection_migration__on+migrLevel_001_0+migrcost_3_0+plf_1_0+dikecost_1_0+rcp26_low+SSP2+DR06_0","GLOBAL_000","GLOBAL feature generated automatically",2100,691016.700090527,61573.4457270298,"SSP2","Table protection levels","Discount rate 6.0","RCP 2.6 low","Usual seadike cost","Migration","Migrationcost 3.0","Migrationlevel   1.0",21005.861255,1161319.025,62613.6177,221240.1175,9225808,0.227685870495029,1963938.71,3291907.34,20102.5768228,17284.375305,23585.335825,0.222775718169007,0.175377459589221,0.269861328295087,61807.3782282,59709.01625,63523.46475,168954.692412,107470.8691,265917.052,1220824.1899,899094.7725,1605069.447,1657034.24336,1020622.5965,2855257.4565,3071223.0733,2578557.195,3401747.9355
