"locationid","time","ssp","pfl","dr","slr","migrlevel","migration_submergence_cummulative_2p0","landloss_submergence_cummulative_2p0","migration_submergence_cummulative_3p0","landloss_submergence_cummulative_3p0","migration_submergence_cummulative_4p0","landloss_submergence_cummulative_4p0","landloss_change3_2","landloss_change3_4","migration_change3_2","migration_change3_4"
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 0.0","H++","Migrationlevel   1.0",55276.0937,392631.598,48582.37365,383305.7055,42618.3002,378660.484,2.43301687561236,-1.21188425670329,13.778083586906,-12.2762084309975
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 0.0","H++","Migrationlevel  10.0",68348.38055,423400.8355,59940.64085,404784.0815,51523.67485,395908.4675,4.59918135392387,-2.19267861698261,14.0267764587972,-14.042168853455
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 0.0","RCP 2.6 hig","Migrationlevel   1.0",29494.3136,126301.7321,24676.6911,123382.09725,22183.7697,122098.9547,2.36633589076067,-1.03997466293677,19.5229679719904,-10.1023325611107
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 0.0","RCP 2.6 hig","Migrationlevel  10.0",39468.37835,137930.6918,33411.88675,135043.9103,28689.938895,132135.8403,2.13766136776329,-2.15342549955766,18.1267572385747,-14.1325387887591
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 0.0","RCP 2.6 low","Migrationlevel   1.0",22510.28118,62017.4063,19135.39858,61024.12255,17748.027575,60601.473015,1.62769034357873,-0.692594202651091,17.6368555161813,-7.25028537660071
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 0.0","RCP 2.6 low","Migrationlevel  10.0",33979.084095,70173.14685,27881.563825,68071.7149,24614.286315,67190.8719,3.08708536737628,-1.29399266831165,21.8693625231044,-11.7184155469443
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 0.0","RCP 8.5 hig","Migrationlevel   1.0",40660.57515,245766.1385,34485.94255,240096.4385,30696.07185,237057.3375,2.36142611503169,-1.26578345725857,17.9047813208168,-10.9896103158706
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 0.0","RCP 8.5 hig","Migrationlevel  10.0",51449.5447,266001.95,44512.8757,258176.313,37162.8355,250262.6845,3.03112121676322,-3.06520315827734,15.5835112670557,-16.5121666134008
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 0.0","RCP 8.5 low","Migrationlevel   1.0",28006.292195,127990.21585,24710.981375,126095.45175,22053.75902,124925.1126,1.50264269940252,-0.928137481374303,13.3354105609656,-10.7532044748668
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 0.0","RCP 8.5 low","Migrationlevel  10.0",40328.0767,141915.2108,34197.383,138665.1415,28404.037075,133179.7575,2.34382575522775,-3.9558492788182,17.9273767820187,-16.9409042937584
